Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-03-27,RRR,2022,https://boxd.it/2Hmtsv,3,,"Firstly some nitpicking:

1. Bheem wants to save a little girl from an event with a large group of people. To do this, Bheem sets loose a large group of carnivorous wild animals onto this large group of people, a group which includes a lot of innocent people and also the little girl that he wants to save! His entire plan relied on the sheer dumb luck that neither the girl nor himself didn't get eaten by these animals. That has to be the dumbest rescue plan in the history of rescue plans.

2. Alright, an old temple's Ram statue has a working bow and a quiver with actual working arrows. That's alright it's Rajamouli. Those working arrows never end and the quiver always shows to be having the same amount of arrows throughout the action scene. That's okay, it's Rajamouli, and he already did the same unlimited arrow thing in Baahubali. Just don't compare Rajamouli's arrow gang with Hawkeye again. Hawkeye literally spent an entire episode of his stand-alone show collecting arrows because he ran out of them, after firing them.

3. I kinda forgot that Alia Bhatt was in this movie till she appeared in the End Credits song. She doesn't even play a character, she basically just plays a plot device at a point in the movie where the ending has to happen. 

4. One dimensional and over-the-top British villains are One dimensional and over-the-top. Indian movies set in pre-Independance era have always had this thing of portraying all the white people as over-the-top aliens than actual people. I was actually surprised when last year's Sardhar Uddham handled its British characters as actual characters with some depth than as caricatures who are too over-the-top to be considered as humans. 

5. I see what you did there with all those Ramayana references, Mr. Rajamouli.

6. Humor based on characters not knowing English and scenes like showing foreigners how awesome Indian music and dance is are as antique as the period the movie is set in. There might even be a deleted scene where the British woman enjoys Biriyani with NTR and fam. 


What I liked:

1. The pre-interval setpiece apart from Bheem's stupid as fuck plan was awesome. I actually got chills from certain moments in the movie. The deliberately in-your-face fire and water thing was cool at times too. Keeravani's music is reliably awesome.

2. I liked the performances of the two leads and I liked their characters. They had more personality than Daddy and Junior Baahubali combined, who were just cardboard cutouts. (Yes, I don't like Baahubali). They're indeed larger than life, but they do show emotions, and they do get hurt.

3. I have to mention Keeravani again, the music is awesome.

4. The production values are pretty great. There are instances of tacky CGI, but I felt that it looked a lot better than Baahubali overall.

I actually liked RRR. Well, I liked it more than Baahubali anyway.

Ram with a bow, Ram-Bow, Ram-Bo, Rambo.

Alia Bhatt is in this movie.",,2022-03-26
2022-03-31,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/2Icoh7,4,,Dark humor done right!,,2022-03-31
2022-04-02,Morbius,2022,https://boxd.it/2Ir3pf,1.5,,I just felt sorry for all the people who worked for months to produce something that wishes that it was a theme park ride. It's a rusty old swing set at best.,,2022-04-01
2022-04-02,The Bubble,2022,https://boxd.it/2IzIJV,2.5,,"When I first heard about this movie and saw the team involved, what I had in my mind was something like Tropic Thunder that's set in a pandemic bubble film production. Instead we got a dull and unfunny wannabe Tropic Thunder that's definitely Judd Apatow's weakest film that I've seen. Even Trainwreck felt like a better movie and this is coming from someone who doesn't even like Amy Schumer's comedy.",,2022-04-02
2022-04-03,K.G.F: Chapter 1,2018,https://boxd.it/2INmB9,2,Yes,"I kinda liked this movie despite its issues when I watched it in the theater. Now on watching it again, I got more focused on the issues and tiresome aspects of KGF than what I liked about it, and reevaluated why I liked it in the first place. The headache inducing editing, the horrible dialogue, misogyny and empty hero worshipping that doesn't know where to put the balance between catering to the fans and telling a story. Still though, the things I liked about KGF still stay intact. I still like the structure, the great buildups, the great music, the way it presents its larger than life protagonist and the world building.

If the second chapter is going to be more of the same, I think it'd be tiresome for me. I'm hoping that there's more of a ""story"" to tell in Chapter 2, and I hope that Rocky actually gets to face a genuine threat than being a god above everything. And I hope that the editor realises that films can be edited together in a way that doesn't induce nausea.",,2022-04-03
2022-04-04,Archana 31 Not Out,2022,https://boxd.it/2IWlpp,2,,"I started watching it after seeing so many negative reviews and initially I felt that it was an okay movie. It's familiar territory but it's the kind of village comedy movie that I usually enjoy. Then the main conflict in the story got introduced just before the interval and it was all downhill from there. The second half is stretched out for a long time with absolutely nothing happening and there's nothing moving at all. To top it all off finally the film decided to build up to a conclusion that actually made me physically face-palm.

There are occasional fun and quirky moments that show promise, but they're just surrounded by such bad writing and execution. I feel the urge to rewatch Thinkalaazhcha Nishchayam just to get a sense on how something like this could be done properly.",,2022-04-03
2022-04-08,Naradan,2022,https://boxd.it/2JxWSd,2.5,,"The film started with a lot of promise. Firstly I just digged its look and those gorgeous shots of Kochi. It's one of the few movies where the city looks so atmospheric. The movie starts by showing the pressure journalists face while doing their job and develops like a drama. I'm saying this because after a while this tone just shifts. Then the movie becomes something that's far too serious to be considered Satire and far too over the top to be considered a drama. We have sudden character transformations and tonal shifts and over the top scenes, which would have been perfect if it were an irreverent satire on the media like Adam McKay's Anchorman, but when the movie does want us to take it seriously, it just loses its balance. Everything is undercooked and the characters are all one dimensional.

 Just when I thought the movie wouldn't end with a speech about media ethics, it literally did! If they wanted to poke at Arnab Goswami, the better and more entertaining way would've been to make a proper satire, Anchorman style, and not having Anchorman-ish scenes in something that's trying to be a serious drama.

I really liked the film's music too. A piece of music that I heard really reminded me of the theme music from Netflix's House of Cards, seeing that both that series and this film have protagonists who are actually the villains, would that be a coincidence or not?",,2022-04-08
2022-04-13,Beast,2022,https://boxd.it/2Ky9nr,2,,"It was fun when Beast was being intentionally funny Die Hard, but it was not fun when it was being unintentionally funny Viswaroopam + Thuppakki + Top Gun + War & Love.

Extra Rants:

Shotguns don't fire their shells as a single bullet, they fire a scattered shot, get educated in PUBG.

I'd rather watch Jonita Gandhi singing Halamathi Habeebo and genuinely enjoying it than the actual music video of it.

Kingsley and Yogi Babu deserved more screen time and they could've saved this movie like they saved doctor.

Nelson expanded on the stuff that didn't work in Doctor (the serious bits), than the stuff that worked greatly in Doctor (the dark humor and the ensemble cast). Why da?

Vijay was reliably awesome.",,2022-04-13
2022-04-14,K.G.F: Chapter 2,2022,https://boxd.it/2KGBk7,2,,Monsters Inc.,,2022-04-14
2022-04-16,Choose or Die,2022,https://boxd.it/2L35xf,2,,Some good ideas spoiled by awful writing and execution.,,2022-04-16
